representation,crossover,mean,std,best
binary,1-point,950.9491304865031,74.55480226235495,787.6342830443411
binary,2-point,962.8490124863835,71.57285221785041,825.8965252348182
real,arithmetic,1091.922937621992,0.3233586779479004,1090.663326924654
real,blx-alpha,1104.9530902615197,69.66451152846992,1092.1935639697022
