representation,crossover,mean,std,best
binary,1-point,-2.1004539876574416e-10,2.3277094564236045e-10,-9.57141464234641e-10
binary,2-point,-6.308176686109597e-10,1.573411898315907e-09,-8.33360890711101e-09
real,arithmetic,-1.754064037162667e-09,9.600216355180972e-09,-5.258384982466005e-08
real,blx-alpha,-2.1464318070810353e-13,6.277905854660315e-13,-2.480610594626845e-12
